recency,frequency,monetary,clusters
107,166,8026.24,0
2229,7,96.42,0
664,43,1364.72,0
2277,7,112.33,0
207,4,35.72,0
2753,3,8.53,0
2459,5,132.26,0
1954,16,1679.0,0
195,312,1738.01,0
2221,15,216.09,0
1139,1,30.87,1
2561,1,17.43,1
168,9,128.3,0
157,9,148.97,0
778,19,582.76,0
1406,1,20.51,1
2471,1,24.97,1
205,18,884.81,0
1820,14,1024.31,0
280,32,956.98,0
2,41,306.98,0
2267,1,22.42,1
1510,2,38.83,0
80,87,514.07,0
1423,8,183.41,0
185,7,56.47,0
1622,1,7.1,1
1197,8,143.58,0
2288,2,183.26,0
2073,2,73.71,0
1804,2,109.08,0
2000,3,203.64,0
1983,2,41.96,0
1393,4,64.3,0
511,78,932.2,0
2190,1,27.71,1
1154,1,9.41,1
2361,5,97.83,0
1156,11,224.94,0
539,9,90.1,0
1187,37,295.11,0
2239,4,15.29,0
1246,3,31.77,0
1924,2,18.31,0
126,4,109.85,0
431,1,24.62,1
2462,3,53.71,0
2677,2,29.33,0
2437,4,41.96,0
2166,1,66.63,1
1876,8,662.65,0
1011,4,16.43,0
2124,4,45.79,0
143,17,269.93,0
113,42,391.1,0
2688,8,231.4,0
606,4,78.27,0
2683,2,39.92,0
20,8,86.8,0
1424,9,67.53,0
751,2,27.73,0
154,1,18.33,1
1025,2,149.83,0
1434,8,106.41,0
1884,2,46.58,0
361,1,28.35,1
378,10,88.61,0
412,16,288.07,0
1000,4,115.2,0
2309,6,227.29,0
163,27,343.33,0
1355,2,24.8,0
1989,3,18.66,0
1959,2,18.61,0
2561,2,43.29,0
2716,2,60.56,0
1246,2,13.36,0
340,3,18.71,0
1845,2,23.75,0
1261,32,537.72,0
2671,9,132.87,0
739,2,20.9,0
1279,4,12.16,0
16,30,431.65,0
1170,8,185.47,0
2299,4,42.4,0
2469,2,108.59,0
8,100,1557.43,0
31,135,1135.58,0
1859,50,1239.51,0
910,4,103.28,0
2115,1,15.83,1
1947,13,87.41,0
846,12,151.79,0
2175,1,49.99,1
857,1,4.06,1
142,2,9.76,0
61,344,6739.89,0
645,8,42.51,0
555,12,98.07,0
400,95,1741.32,0
2204,10,120.66,0
1835,3,22.35,0
1328,1,18.68,1
1028,10,207.12,0
1958,8,131.38,0
118,1,16.21,1
1562,32,484.88,0
1463,18,297.59,0
2501,2,24.99,0
2105,1,74.96,1
1390,1,16.57,1
645,5,48.4,0
1233,4,14.36,0
280,9,77.36,0
1738,4,61.15,0
1026,13,184.24,0
2280,7,72.56,0
1472,2,44.24,0
2518,1,71.17,1
849,3,73.27,0
1781,9,93.67,0
