recency,frequency,monetary,variety,clusters,kmeans_cluster
107,1.018404907,8026.24,91,0,2
2229,0.043209876,96.42,6,0,0
664,0.265432098,1364.72,36,0,3
2277,0.04347826,112.33,7,0,0
207,0.02484472,35.72,4,0,1
2753,0.01863354,8.53,3,0,0
2459,0.0310559,132.26,5,0,0
1954,0.099378881,1679.0,14,0,3
195,1.937888198,1738.01,182,0,2
2221,0.093167701,216.09,11,0,0
2561,0.00621118,17.43,1,1,0
168,0.055900621,128.3,9,0,1
157,0.055900621,148.97,9,0,1
778,0.118012422,582.76,19,0,3
2471,0.00625,24.97,1,1,0
205,0.1125,884.81,15,0,3
1820,0.0875,1024.31,9,0,3
280,0.2,956.98,22,0,3
2,0.25625,306.98,33,0,3
2267,0.00625,22.42,1,1,0
1510,0.0125,38.83,2,0,0
80,0.54375,514.07,79,0,3
1423,0.05,183.41,7,0,0
185,0.04375,56.47,6,0,1
1622,0.00625,7.1,1,1,0
1197,0.05,143.58,7,0,1
2288,0.0125,183.26,2,0,0
2073,0.0125,73.71,2,0,0
1804,0.0125,109.08,2,0,0
2000,0.01875,203.64,2,0,0
1983,0.0125,41.96,2,0,0
1393,0.025,64.3,3,0,0
511,0.4875,932.2,64,0,3
2190,0.00625,27.71,1,1,0
1154,0.00625,9.41,1,1,1
2361,0.03144654,97.83,3,0,0
1156,0.069182389,224.94,9,0,1
539,0.056603773,90.1,9,0,1
1187,0.232704402,295.11,34,0,3
2239,0.025157232,15.29,3,0,0
1246,0.018867924,31.77,1,1,0
1924,0.012578616,18.31,2,0,0
126,0.025157232,109.85,4,0,1
431,0.006289308,24.62,1,1,1
2462,0.018867924,53.71,3,0,0
2677,0.012578616,29.33,2,0,0
2437,0.025157232,41.96,4,0,0
2166,0.006289308,66.63,1,1,0
1876,0.050314465,662.65,7,0,0
1011,0.025157232,16.43,3,0,1
2124,0.025157232,45.79,4,0,0
143,0.106918238,269.93,15,0,1
113,0.264150943,391.1,33,0,3
2688,0.050314465,231.4,8,0,0
606,0.025157232,78.27,4,0,1
2683,0.012578616,39.92,2,0,0
20,0.050314465,86.8,8,0,1
1424,0.056603773,67.53,8,0,0
751,0.012578616,27.73,2,0,1
154,0.006289308,18.33,1,1,1
1025,0.012578616,149.83,2,0,1
1434,0.050314465,106.41,7,0,0
1884,0.012578616,46.58,2,0,0
361,0.006289308,28.35,1,1,1
378,0.062893081,88.61,8,0,1
412,0.10062893,288.07,14,0,1
1000,0.025157232,115.2,2,0,1
2309,0.037735849,227.29,5,0,0
163,0.16981132,343.33,26,0,3
1355,0.012578616,24.8,2,0,0
1989,0.018867924,18.66,2,0,0
1959,0.012578616,18.61,2,0,0
2561,0.012578616,43.29,2,0,0
2716,0.012578616,60.56,1,1,0
1246,0.012578616,13.36,2,0,0
340,0.018867924,18.71,3,0,1
1845,0.012658227,23.75,2,0,0
1261,0.202531645,537.72,30,0,3
2671,0.056962025,132.87,6,0,0
739,0.012658227,20.9,1,1,1
1279,0.025316455,12.16,4,0,0
16,0.189873417,431.65,26,0,3
1170,0.050632911,185.47,7,0,1
2299,0.025316455,42.4,4,0,0
2469,0.012658227,108.59,2,0,0
8,0.632911392,1557.43,75,0,3
31,0.854430379,1135.58,104,0,3
1859,0.316455696,1239.51,47,0,3
910,0.025316455,103.28,4,0,1
2115,0.006329113,15.83,1,1,0
1947,0.082278481,87.41,13,0,0
846,0.075949367,151.79,12,0,1
2175,0.006329113,49.99,1,1,0
857,0.006329113,4.06,1,1,1
142,0.012658227,9.76,2,0,1
61,2.191082802,6739.89,201,0,2
645,0.050955414,42.51,8,0,1
555,0.076433121,98.07,12,0,1
400,0.605095541,1741.32,56,0,3
2204,0.063694267,120.66,8,0,0
1835,0.01910828,22.35,3,0,0
1328,0.006369426,18.68,1,1,0
1028,0.063694267,207.12,9,0,1
1958,0.050955414,131.38,7,0,0
118,0.006369426,16.21,1,1,1
1562,0.203821656,484.88,30,0,3
1463,0.114649681,297.59,18,0,0
2501,0.012738853,24.99,1,1,0
2105,0.006369426,74.96,1,1,0
1390,0.006369426,16.57,1,1,0
645,0.032051282,48.4,5,0,1
1233,0.025641025,14.36,4,0,0
280,0.057692307,77.36,9,0,1
1738,0.025641025,61.15,3,0,0
1026,0.083333333,184.24,13,0,1
2280,0.044871794,72.56,6,0,0
1472,0.012820512,44.24,2,0,0
2518,0.006410256,71.17,1,1,0
849,0.019230769,73.27,3,0,1
1781,0.057692307,93.67,8,0,0
2659,0.019230769,48.78,1,1,0
827,0.025641025,73.16,4,0,1
168,0.038461538,86.71,5,0,1
2342,0.044871794,116.93,7,0,0
1043,0.608974358,1259.56,86,0,3
1905,0.012820512,19.0,2,0,0
635,0.102564102,236.28,12,0,1
2709,0.025641025,185.29,4,0,0
1002,0.019230769,13.63,2,0,1
1150,0.057692307,251.37,8,0,1
492,0.076923076,141.02,11,0,1
