recency,frequency,monetary,variety,kmeans_cluster
274,166,8026.24,91,2
2396,7,96.42,6,1
831,43,1364.72,36,3
2444,7,112.33,7,1
374,4,35.72,4,0
2920,3,8.53,3,1
2626,5,132.26,5,1
2121,16,1679.0,14,3
362,312,1738.01,182,2
2388,15,216.09,11,1
1306,1,30.87,1,0
2728,1,17.43,1,1
335,9,128.3,9,0
324,9,148.97,9,0
945,19,582.76,19,3
1573,1,20.51,1,1
2638,1,24.97,1,1
372,18,884.81,15,3
1987,14,1024.31,9,3
447,32,956.98,22,3
169,41,306.98,33,3
2434,1,22.42,1,1
1677,2,38.83,2,1
247,87,514.07,79,3
1590,8,183.41,7,1
352,7,56.47,6,0
1789,1,7.1,1,1
1364,8,143.58,7,0
2455,2,183.26,2,1
2240,2,73.71,2,1
1971,2,109.08,2,1
2167,3,203.64,2,1
2150,2,41.96,2,1
1560,4,64.3,3,1
678,78,932.2,64,3
2357,1,27.71,1,1
1321,1,9.41,1,0
2528,5,97.83,3,1
1323,11,224.94,9,0
706,9,90.1,9,0
1354,37,295.11,34,3
2406,4,15.29,3,1
1413,3,31.77,1,0
2091,2,18.31,2,1
293,4,109.85,4,0
598,1,24.62,1,0
2629,3,53.71,3,1
2844,2,29.33,2,1
2604,4,41.96,4,1
2333,1,66.63,1,1
2043,8,662.65,7,1
1178,4,16.43,3,0
2291,4,45.79,4,1
310,17,269.93,15,0
280,42,391.1,33,3
2855,8,231.4,8,1
773,4,78.27,4,0
2850,2,39.92,2,1
187,8,86.8,8,0
1591,9,67.53,8,1
918,2,27.73,2,0
321,1,18.33,1,0
1192,2,149.83,2,0
1601,8,106.41,7,1
2051,2,46.58,2,1
528,1,28.35,1,0
545,10,88.61,8,0
579,16,288.07,14,0
1167,4,115.2,2,0
2476,6,227.29,5,1
330,27,343.33,26,3
1522,2,24.8,2,1
2156,3,18.66,2,1
2126,2,18.61,2,1
2728,2,43.29,2,1
2883,2,60.56,1,1
1413,2,13.36,2,0
507,3,18.71,3,0
2012,2,23.75,2,1
1428,32,537.72,30,3
2838,9,132.87,6,1
906,2,20.9,1,0
1446,4,12.16,4,1
183,30,431.65,26,3
1337,8,185.47,7,0
2466,4,42.4,4,1
2636,2,108.59,2,1
175,100,1557.43,75,3
198,135,1135.58,104,3
2026,50,1239.51,47,3
1077,4,103.28,4,0
2282,1,15.83,1,1
2114,13,87.41,13,1
1013,12,151.79,12,0
2342,1,49.99,1,1
1024,1,4.06,1,0
309,2,9.76,2,0
228,344,6739.89,201,2
812,8,42.51,8,0
722,12,98.07,12,0
567,95,1741.32,56,3
2371,10,120.66,8,1
2002,3,22.35,3,1
1495,1,18.68,1,1
1195,10,207.12,9,0
2125,8,131.38,7,1
285,1,16.21,1,0
1729,32,484.88,30,3
1630,18,297.59,18,1
2668,2,24.99,1,1
2272,1,74.96,1,1
1557,1,16.57,1,1
812,5,48.4,5,0
1400,4,14.36,4,0
447,9,77.36,9,0
1905,4,61.15,3,1
1193,13,184.24,13,0
2447,7,72.56,6,1
1639,2,44.24,2,1
2685,1,71.17,1,1
1016,3,73.27,3,0
1948,9,93.67,8,1
2826,3,48.78,1,1
994,4,73.16,4,0
335,6,86.71,5,0
2509,7,116.93,7,1
1210,95,1259.56,86,3
2072,2,19.0,2,1
802,16,236.28,12,0
2876,4,185.29,4,1
1169,3,13.63,2,0
1317,9,251.37,8,0
659,12,141.02,11,0
2090,12,167.73,12,1
1914,15,180.56,15,1
531,96,413.56,70,3
218,7,73.39,6,0
322,11,117.71,11,0
2508,18,323.22,15,1
185,144,2035.66,89,2
2855,5,50.44,5,1
911,2,9.56,2,0
859,38,420.29,31,3
2542,1,12.49,1,1
888,10,112.69,10,0
953,25,266.4,20,0
976,22,231.69,21,0
1731,7,14.1,7,1
2353,9,182.05,9,1
2333,1,74.93,1,1
636,7,83.7,7,0
780,7,88.61,7,0
660,4,282.11,4,0
1243,8,127.76,7,0
2646,2,20.58,2,1
225,22,362.05,18,0
453,2,14.66,1,0
2372,16,204.11,13,1
2529,9,177.47,7,1
2346,27,510.62,24,3
1650,6,133.17,4,1
518,1,42.49,1,0
172,12,139.0,6,0
2048,8,123.71,8,1
1452,3,24.99,2,1
2855,3,42.32,3,1
218,25,1461.33,20,3
1583,2,20.97,2,1
1571,13,117.75,11,1
505,1,23.31,1,0
2056,4,169.69,4,1
2810,24,340.82,15,1
255,9,122.86,8,0
2109,6,167.74,5,1
638,52,573.01,42,3
303,21,186.74,19,0
2724,2,52.25,2,1
1065,9,194.75,8,0
2412,4,95.73,4,1
858,20,204.89,14,0
482,19,124.26,19,0
1478,2,8.2,2,1
2469,5,70.47,5,1
1849,7,140.33,6,1
942,129,1810.29,83,3
912,37,397.68,32,3
552,28,283.16,25,3
2127,7,79.02,6,1
719,11,99.29,10,0
578,23,441.81,23,3
1171,22,247.57,18,0
864,2,14.36,1,0
2332,1,373.5,1,1
2685,2,16.35,2,1
726,1,45.25,1,0
968,4,52.12,4,0
170,19,169.45,14,0
1042,27,346.67,24,3
321,24,280.95,23,0
1976,8,109.7,6,1
868,19,232.28,18,0
2297,2,34.54,2,1
