model,experiment_no,silouhette_score,calinski_harabasz_score,davies_bouldin_score
RFM,0,0.53,10646.97,0.7
RFM,1,0.52,10497.51,0.72
RFM,2,0.53,11502.34,0.68
RFM,3,0.53,10831.94,0.73
RFM,4,0.54,12558.84,0.69
RFM,5,0.53,11598.32,0.71
RFM,6,0.53,11307.53,0.7
RFM,7,0.53,10944.55,0.56
RFM,8,0.53,9078.09,0.79
RFM,9,0.53,11006.12,0.74
RFM,10,0.53,11001.69,0.76
RFM,11,0.52,10998.35,0.74
RFM,12,0.53,10510.31,0.54
RFM,13,0.53,10610.96,0.76
RFM,14,0.53,11518.94,0.71
RFM,15,0.53,10569.32,0.76
RFM,16,0.53,11253.21,0.72
RFM,17,0.53,11099.46,0.74
RFM,18,0.53,10085.0,0.78
RFM,19,0.53,11792.36,0.7
RFM,20,0.53,11402.78,0.67
RFM,21,0.53,12068.63,0.73
RFM,22,0.53,10768.4,0.74
RFM,23,0.53,10505.55,0.76
RFM,24,0.54,10812.41,0.7
RFM,25,0.53,10692.54,0.74
RFM,26,0.53,10059.87,0.76
RFM,27,0.53,10993.81,0.74
RFM,28,0.53,11463.62,0.72
RFM,29,0.53,11458.83,0.7
RFM,30,0.53,10992.14,0.75
RFM,31,0.53,11688.11,0.68
RFM,32,0.53,11334.5,0.73
RFM,33,0.53,12106.8,0.54
RFM,34,0.53,11442.78,0.71
RFM,35,0.53,11181.89,0.75
RFM,36,0.53,11355.64,0.72
RFM,37,0.52,11188.32,0.76
RFM,38,0.53,11882.56,0.68
RFM,39,0.53,11612.37,0.72
RFM,40,0.53,10924.91,0.73
RFM,41,0.53,10921.81,0.76
RFM,42,0.53,12198.12,0.69
RFM,43,0.53,11110.28,0.71
RFM,44,0.52,11065.56,0.73
RFM,45,0.52,11514.64,0.74
RFM,46,0.53,11761.28,0.72
RFM,47,0.53,11372.51,0.7
RFM,48,0.53,10668.38,0.54
RFM,49,0.53,11290.49,0.75
RFM,50,0.53,12165.89,0.67
RFM,51,0.53,11084.65,0.72
RFM,52,0.53,11636.04,0.69
RFM,53,0.53,9566.67,0.56
RFM,54,0.54,11260.17,0.67
RFM,55,0.53,11657.25,0.64
RFM,56,0.53,10981.08,0.55
RFM,57,0.53,11018.3,0.73
RFM,58,0.53,11842.02,0.68
RFM,59,0.52,10671.41,0.74
RFM,60,0.53,11460.12,0.72
RFM,61,0.42,10530.47,0.75
RFM,62,0.53,11331.74,0.57
RFM,63,0.52,11157.29,0.75
RFM,64,0.53,11096.1,0.67
RFM,65,0.53,11567.81,0.7
RFM,66,0.53,11707.56,0.66
RFM,67,0.53,11392.2,0.72
RFM,68,0.53,10368.22,0.72
RFM,69,0.53,11903.13,0.67
RFM,70,0.52,11920.71,0.75
RFM,71,0.53,10684.38,0.75
RFM,72,0.53,11002.52,0.72
RFM,73,0.53,11829.49,0.76
RFM,74,0.53,10420.88,0.75
RFM,75,0.52,11640.94,0.71
RFM,76,0.53,10721.97,0.77
RFM,77,0.53,11753.73,0.71
RFM,78,0.53,11409.19,0.72
RFM,79,0.53,10010.05,0.79
RFM,80,0.53,11214.13,0.74
RFM,81,0.53,10921.76,0.71
RFM,82,0.52,11329.97,0.69
RFM,83,0.53,11836.01,0.72
RFM,84,0.54,11285.02,0.59
RFM,85,0.53,10751.46,0.76
RFM,86,0.54,9851.73,0.75
RFM,87,0.52,11319.14,0.73
RFM,88,0.53,11265.78,0.74
RFM,89,0.54,10233.79,0.74
RFM,90,0.53,10830.07,0.72
RFM,91,0.53,11036.78,0.53
RFM,92,0.53,11192.97,0.69
RFM,93,0.53,10887.08,0.55
RFM,94,0.52,10824.79,0.75
RFM,95,0.53,11491.31,0.69
RFM,96,0.53,10291.33,0.76
RFM,97,0.53,10938.5,0.72
RFM,98,0.53,11167.51,0.75
RFM,99,0.52,11364.73,0.72
RFMV,0,0.48,10498.81,0.69
RFMV,1,0.5,10927.81,0.54
RFMV,2,0.47,8212.53,0.58
RFMV,3,0.49,11121.75,0.7
RFMV,4,0.49,9939.5,0.71
RFMV,5,0.49,10822.98,0.68
RFMV,6,0.5,11652.4,0.66
RFMV,7,0.49,9959.16,0.73
RFMV,8,0.49,11265.09,0.68
RFMV,9,0.48,10883.77,0.68
RFMV,10,0.49,10845.82,0.7
RFMV,11,0.49,11842.15,0.71
RFMV,12,0.49,8800.61,0.65
RFMV,13,0.49,10002.01,0.73
RFMV,14,0.49,10178.49,0.71
RFMV,15,0.49,10691.38,0.72
RFMV,16,0.5,10082.3,0.7
RFMV,17,0.49,11040.91,0.71
RFMV,18,0.49,12135.46,0.71
RFMV,19,0.49,10989.44,0.68
RFMV,20,0.49,9838.53,0.72
RFMV,21,0.49,10697.37,0.71
RFMV,22,0.49,10921.78,0.69
RFMV,23,0.49,10510.38,0.71
RFMV,24,0.49,10714.14,0.72
RFMV,25,0.48,10021.01,0.7
RFMV,26,0.49,11324.47,0.67
RFMV,27,0.48,7914.54,0.58
RFMV,28,0.5,9232.08,0.72
RFMV,29,0.49,11706.63,0.71
RFMV,30,0.49,11182.56,0.7
RFMV,31,0.49,8574.01,0.71
RFMV,32,0.5,10453.42,0.69
RFMV,33,0.49,10456.96,0.71
RFMV,34,0.49,10820.39,0.7
RFMV,35,0.49,10298.27,0.69
RFMV,36,0.49,10986.67,0.68
RFMV,37,0.5,10953.9,0.72
RFMV,38,0.49,11349.82,0.7
RFMV,39,0.48,10082.21,0.68
RFMV,40,0.49,11439.62,0.69
RFMV,41,0.48,9964.9,0.7
RFMV,42,0.49,11404.47,0.69
RFMV,43,0.49,11036.34,0.69
RFMV,44,0.49,11082.46,0.69
RFMV,45,0.49,11267.88,0.68
RFMV,46,0.49,10700.88,0.67
RFMV,47,0.49,11818.56,0.71
RFMV,48,0.5,10105.92,0.7
RFMV,49,0.49,10552.94,0.69
RFMV,50,0.5,11207.04,0.69
RFMV,51,0.49,9394.66,0.72
RFMV,52,0.49,10919.02,0.7
RFMV,53,0.49,11413.51,0.71
RFMV,54,0.49,10765.99,0.7
RFMV,55,0.5,11488.83,0.54
RFMV,56,0.49,10582.5,0.69
RFMV,57,0.49,11549.97,0.68
RFMV,58,0.5,10668.38,0.7
RFMV,59,0.49,10316.45,0.74
RFMV,60,0.49,11220.22,0.54
RFMV,61,0.5,11480.02,0.67
RFMV,62,0.49,10768.43,0.69
RFMV,63,0.49,11785.03,0.7
RFMV,64,0.49,10935.63,0.71
RFMV,65,0.49,10706.41,0.7
RFMV,66,0.5,10209.44,0.7
RFMV,67,0.49,10964.73,0.55
RFMV,68,0.5,10362.99,0.73
RFMV,69,0.5,11368.72,0.55
RFMV,70,0.5,9145.96,0.7
