recency,frequency,monetary
267,1.018404907,8026.24
2389,0.043209876,96.42
824,0.265432098,1364.72
2437,0.043478260,112.33
367,0.024844720,35.72
2913,0.018633540,8.53
2619,0.031055900,132.26
2114,0.099378881,1679.00
355,1.937888198,1738.01
2381,0.093167701,216.09
1299,0.006211180,30.87
2721,0.006211180,17.43
328,0.055900621,128.30
317,0.055900621,148.97
938,0.118012422,582.76
1566,0.006211180,20.51
2631,0.006250000,24.97
365,0.112500000,884.81
1980,0.087500000,1024.31
440,0.200000000,956.98
162,0.256250000,306.98
2427,0.006250000,22.42
1670,0.012500000,38.83
240,0.543750000,514.07
1583,0.050000000,183.41
345,0.043750000,56.47
1782,0.006250000,7.10
1357,0.050000000,143.58
2448,0.012500000,183.26
2233,0.012500000,73.71
1964,0.012500000,109.08
2160,0.018750000,203.64
2143,0.012500000,41.96
1553,0.025000000,64.30
671,0.487500000,932.20
2350,0.006250000,27.71
1314,0.006250000,9.41
2521,0.031446540,97.83
1316,0.069182389,224.94
699,0.056603773,90.10
1347,0.232704402,295.11
2399,0.025157232,15.29
1406,0.018867924,31.77
2084,0.012578616,18.31
286,0.025157232,109.85
591,0.006289308,24.62
2622,0.018867924,53.71
2837,0.012578616,29.33
2597,0.025157232,41.96
2326,0.006289308,66.63
2036,0.050314465,662.65
1171,0.025157232,16.43
2284,0.025157232,45.79
303,0.106918238,269.93
273,0.264150943,391.10
2848,0.050314465,231.40
766,0.025157232,78.27
2843,0.012578616,39.92
180,0.050314465,86.80
1584,0.056603773,67.53
911,0.012578616,27.73
314,0.006289308,18.33
1185,0.012578616,149.83
1594,0.050314465,106.41
2044,0.012578616,46.58
521,0.006289308,28.35
538,0.062893081,88.61
572,0.100628930,288.07
1160,0.025157232,115.20
2469,0.037735849,227.29
323,0.169811320,343.33
1515,0.012578616,24.80
2149,0.018867924,18.66
2119,0.012578616,18.61
2721,0.012578616,43.29
2876,0.012578616,60.56
1406,0.012578616,13.36
500,0.018867924,18.71
2005,0.012658227,23.75
1421,0.202531645,537.72
2831,0.056962025,132.87
899,0.012658227,20.90
1439,0.025316455,12.16
176,0.189873417,431.65
1330,0.050632911,185.47
2459,0.025316455,42.40
2629,0.012658227,108.59
168,0.632911392,1557.43
191,0.854430379,1135.58
2019,0.316455696,1239.51
1070,0.025316455,103.28
2275,0.006329113,15.83
2107,0.082278481,87.41
1006,0.075949367,151.79
2335,0.006329113,49.99
1017,0.006329113,4.06
302,0.012658227,9.76
221,2.191082802,6739.89
805,0.050955414,42.51
715,0.076433121,98.07
560,0.605095541,1741.32
2364,0.063694267,120.66
1995,0.019108280,22.35
1488,0.006369426,18.68
1188,0.063694267,207.12
2118,0.050955414,131.38
278,0.006369426,16.21
1722,0.203821656,484.88
1623,0.114649681,297.59
2661,0.012738853,24.99
2265,0.006369426,74.96
1550,0.006369426,16.57
805,0.032051282,48.40
1393,0.025641025,14.36
440,0.057692307,77.36
1898,0.025641025,61.15
1186,0.083333333,184.24
2440,0.044871794,72.56
1632,0.012820512,44.24
2678,0.006410256,71.17
1009,0.019230769,73.27
1941,0.057692307,93.67
2819,0.019230769,48.78
987,0.025641025,73.16
328,0.038461538,86.71
2502,0.044871794,116.93
1203,0.608974358,1259.56
2065,0.012820512,19.00
795,0.102564102,236.28
2869,0.025641025,185.29
1162,0.019230769,13.63
1310,0.057692307,251.37
652,0.076923076,141.02
2083,0.076923076,167.73
1907,0.096153846,180.56
524,0.615384615,413.56
211,0.044871794,73.39
315,0.070512820,117.71
2501,0.115384615,323.22
178,0.923076923,2035.66
2848,0.032051282,50.44
904,0.012820512,9.56
852,0.243589743,420.29
2535,0.006410256,12.49
881,0.064102564,112.69
946,0.160256410,266.40
969,0.141025641,231.69
