recency,frequency,monetary
274,166,8026.24
2396,7,96.42
831,43,1364.72
2444,7,112.33
374,4,35.72
2920,3,8.53
2626,5,132.26
2121,16,1679.00
362,312,1738.01
2388,15,216.09
1306,1,30.87
2728,1,17.43
335,9,128.30
324,9,148.97
945,19,582.76
1573,1,20.51
2638,1,24.97
372,18,884.81
1987,14,1024.31
447,32,956.98
169,41,306.98
2434,1,22.42
1677,2,38.83
247,87,514.07
1590,8,183.41
352,7,56.47
1789,1,7.10
1364,8,143.58
2455,2,183.26
2240,2,73.71
1971,2,109.08
2167,3,203.64
2150,2,41.96
1560,4,64.30
678,78,932.20
2357,1,27.71
1321,1,9.41
2528,5,97.83
1323,11,224.94
706,9,90.10
1354,37,295.11
2406,4,15.29
1413,3,31.77
2091,2,18.31
293,4,109.85
598,1,24.62
2629,3,53.71
2844,2,29.33
2604,4,41.96
2333,1,66.63
2043,8,662.65
1178,4,16.43
2291,4,45.79
310,17,269.93
280,42,391.10
2855,8,231.40
773,4,78.27
2850,2,39.92
187,8,86.80
1591,9,67.53
918,2,27.73
321,1,18.33
1192,2,149.83
1601,8,106.41
2051,2,46.58
528,1,28.35
545,10,88.61
579,16,288.07
1167,4,115.20
2476,6,227.29
330,27,343.33
1522,2,24.80
2156,3,18.66
2126,2,18.61
2728,2,43.29
2883,2,60.56
1413,2,13.36
507,3,18.71
2012,2,23.75
1428,32,537.72
2838,9,132.87
906,2,20.90
1446,4,12.16
183,30,431.65
1337,8,185.47
2466,4,42.40
2636,2,108.59
175,100,1557.43
198,135,1135.58
2026,50,1239.51
1077,4,103.28
2282,1,15.83
2114,13,87.41
1013,12,151.79
2342,1,49.99
1024,1,4.06
309,2,9.76
228,344,6739.89
812,8,42.51
722,12,98.07
567,95,1741.32
2371,10,120.66
2002,3,22.35
1495,1,18.68
1195,10,207.12
2125,8,131.38
285,1,16.21
1729,32,484.88
1630,18,297.59
2668,2,24.99
2272,1,74.96
1557,1,16.57
812,5,48.40
1400,4,14.36
447,9,77.36
1905,4,61.15
1193,13,184.24
2447,7,72.56
1639,2,44.24
2685,1,71.17
1016,3,73.27
1948,9,93.67
2826,3,48.78
994,4,73.16
335,6,86.71
2509,7,116.93
1210,95,1259.56
2072,2,19.00
802,16,236.28
2876,4,185.29
1169,3,13.63
1317,9,251.37
659,12,141.02
2090,12,167.73
1914,15,180.56
531,96,413.56
218,7,73.39
322,11,117.71
2508,18,323.22
185,144,2035.66
2855,5,50.44
911,2,9.56
859,38,420.29
2542,1,12.49
888,10,112.69
953,25,266.40
976,22,231.69
1731,7,14.10
2353,9,182.05
2333,1,74.93
636,7,83.70
780,7,88.61
660,4,282.11
1243,8,127.76
2646,2,20.58
225,22,362.05
453,2,14.66
2372,16,204.11
2529,9,177.47
2346,27,510.62
1650,6,133.17
518,1,42.49
172,12,139.00
2048,8,123.71
1452,3,24.99
2855,3,42.32
218,25,1461.33
1583,2,20.97
1571,13,117.75
505,1,23.31
2056,4,169.69
2810,24,340.82
255,9,122.86
2109,6,167.74
638,52,573.01
303,21,186.74
2724,2,52.25
1065,9,194.75
2412,4,95.73
858,20,204.89
482,19,124.26
1478,2,8.20
2469,5,70.47
1849,7,140.33
942,129,1810.29
912,37,397.68
552,28,283.16
2127,7,79.02
719,11,99.29
578,23,441.81
1171,22,247.57
864,2,14.36
2332,1,373.50
2685,2,16.35
726,1,45.25
968,4,52.12
170,19,169.45
1042,27,346.67
321,24,280.95
1976,8,109.70
868,19,232.28
2297,2,34.54
2224,6,209.82
283,25,217.94
2032,2,20.92
514,119,1806.42
175,19,124.67
475,7,236.59
1893,5,37.11
188,192,2022.63
466,8,100.90
1177,2,16.71
1560,3,19.41
2850,4,78.04
1011,5,41.82
445,12,119.61
933,59,691.70
2276,1,56.93
508,5,7.18
375,7,111.87
2098,3,48.27
925,6,21.63
440,7,46.80
1905,4,49.41
324,12,129.45
2780,2,27.55
1320,17,177.89
2437,2,35.30
291,28,556.59
2788,2,62.01
223,27,351.55
2086,1,26.17
2380,3,144.56
1251,1,24.29
2849,1,17.34
2892,1,55.38
884,35,380.16
631,3,5.22
1920,3,56.01
2300,3,188.42
2333,3,492.47
2892,1,71.21
2577,2,64.57
1007,7,183.00
2925,2,8.16
512,36,254.24
2611,2,26.61
1174,30,295.31
905,1,16.66
2899,4,83.62
624,1,0.78
2843,3,54.79
1801,1,20.19
1339,8,65.17
334,6,17.49
2263,6,88.00
628,2,79.82
2563,3,55.56
1008,8,74.79
516,2,24.93
1072,75,655.17
2426,10,318.33
330,109,526.27
287,30,426.22
453,9,71.24
870,5,29.91
494,15,229.14
441,4,220.33
1546,9,179.03
1468,3,437.65
505,31,632.90
1534,9,127.79
2674,1,26.63
434,3,30.07
1756,3,37.89
2523,7,84.18
2847,5,111.38
2531,2,11.36
1120,9,95.70
1585,11,195.40
2632,1,16.46
194,8,210.70
660,21,578.72
2087,54,598.42
567,27,173.89
1040,2,25.65
2724,5,221.98
2907,1,191.00
1392,1,9.41
756,1,6.58
2494,2,18.54
499,7,124.07
1665,13,120.20
2740,7,250.31
507,5,66.59
498,49,553.00
509,53,660.81
624,7,65.52
1605,20,166.49
975,6,71.47
452,23,114.31
1551,9,26.03
2912,1,22.13
300,22,358.97
991,3,80.33
2311,2,62.43
1703,6,44.97
1242,9,29.51
543,1,25.84
2440,2,53.96
289,20,197.99
774,1,21.99
1455,5,76.90
1561,3,204.24
2101,2,87.56
1212,11,161.23
1640,9,92.72
2481,2,35.68
590,6,53.57
285,17,118.61
1442,2,28.83
174,58,391.15
185,22,242.64
678,1,14.98
1441,25,371.45
425,12,120.42
519,9,123.35
2054,5,25.29
622,1,16.24
2287,1,29.16
832,4,62.57
2161,12,246.60
2374,1,49.99
623,7,96.87
1480,20,261.06
2398,11,184.46
1824,15,584.80
1535,22,607.47
897,19,213.99
2489,14,165.39
490,1,23.97
1756,12,125.04
408,3,165.63
1809,4,53.70
1645,2,68.07
451,20,175.24
692,21,201.01
1956,2,40.88
1694,10,37.60
169,17,273.24
2773,1,31.63
1122,9,107.90
528,7,73.86
2865,2,49.98
1421,1,5.97
1552,15,130.81
623,24,240.61
875,8,290.91
446,2,29.68
627,99,1110.89
2848,18,333.70
2207,8,136.17
449,6,18.08
545,24,397.60
1200,7,94.84
180,32,525.63
2491,12,194.46
2168,2,62.86
661,12,72.05
391,175,6121.33
2717,1,44.96
2297,1,129.00
