recency,frequency,monetary,variety
274,1.018404907,8026.24,91
2396,0.043209876,96.42,6
831,0.265432098,1364.72,36
2444,0.043478260,112.33,7
374,0.024844720,35.72,4
2920,0.018633540,8.53,3
2626,0.031055900,132.26,5
2121,0.099378881,1679.00,14
362,1.937888198,1738.01,182
2388,0.093167701,216.09,11
1306,0.006211180,30.87,1
2728,0.006211180,17.43,1
335,0.055900621,128.30,9
324,0.055900621,148.97,9
945,0.118012422,582.76,19
1573,0.006211180,20.51,1
2638,0.006250000,24.97,1
372,0.112500000,884.81,15
1987,0.087500000,1024.31,9
447,0.200000000,956.98,22
169,0.256250000,306.98,33
2434,0.006250000,22.42,1
1677,0.012500000,38.83,2
247,0.543750000,514.07,79
1590,0.050000000,183.41,7
352,0.043750000,56.47,6
1789,0.006250000,7.10,1
1364,0.050000000,143.58,7
2455,0.012500000,183.26,2
2240,0.012500000,73.71,2
1971,0.012500000,109.08,2
2167,0.018750000,203.64,2
2150,0.012500000,41.96,2
1560,0.025000000,64.30,3
678,0.487500000,932.20,64
2357,0.006250000,27.71,1
1321,0.006250000,9.41,1
2528,0.031446540,97.83,3
1323,0.069182389,224.94,9
706,0.056603773,90.10,9
1354,0.232704402,295.11,34
2406,0.025157232,15.29,3
1413,0.018867924,31.77,1
2091,0.012578616,18.31,2
293,0.025157232,109.85,4
598,0.006289308,24.62,1
2629,0.018867924,53.71,3
2844,0.012578616,29.33,2
2604,0.025157232,41.96,4
2333,0.006289308,66.63,1
2043,0.050314465,662.65,7
1178,0.025157232,16.43,3
2291,0.025157232,45.79,4
310,0.106918238,269.93,15
280,0.264150943,391.10,33
2855,0.050314465,231.40,8
773,0.025157232,78.27,4
2850,0.012578616,39.92,2
187,0.050314465,86.80,8
1591,0.056603773,67.53,8
918,0.012578616,27.73,2
321,0.006289308,18.33,1
1192,0.012578616,149.83,2
1601,0.050314465,106.41,7
2051,0.012578616,46.58,2
528,0.006289308,28.35,1
545,0.062893081,88.61,8
579,0.100628930,288.07,14
1167,0.025157232,115.20,2
2476,0.037735849,227.29,5
330,0.169811320,343.33,26
1522,0.012578616,24.80,2
2156,0.018867924,18.66,2
2126,0.012578616,18.61,2
2728,0.012578616,43.29,2
2883,0.012578616,60.56,1
1413,0.012578616,13.36,2
507,0.018867924,18.71,3
2012,0.012658227,23.75,2
1428,0.202531645,537.72,30
2838,0.056962025,132.87,6
906,0.012658227,20.90,1
1446,0.025316455,12.16,4
183,0.189873417,431.65,26
1337,0.050632911,185.47,7
2466,0.025316455,42.40,4
2636,0.012658227,108.59,2
175,0.632911392,1557.43,75
198,0.854430379,1135.58,104
2026,0.316455696,1239.51,47
1077,0.025316455,103.28,4
2282,0.006329113,15.83,1
2114,0.082278481,87.41,13
1013,0.075949367,151.79,12
2342,0.006329113,49.99,1
1024,0.006329113,4.06,1
309,0.012658227,9.76,2
228,2.191082802,6739.89,201
812,0.050955414,42.51,8
722,0.076433121,98.07,12
567,0.605095541,1741.32,56
2371,0.063694267,120.66,8
2002,0.019108280,22.35,3
1495,0.006369426,18.68,1
1195,0.063694267,207.12,9
2125,0.050955414,131.38,7
285,0.006369426,16.21,1
1729,0.203821656,484.88,30
1630,0.114649681,297.59,18
2668,0.012738853,24.99,1
2272,0.006369426,74.96,1
1557,0.006369426,16.57,1
812,0.032051282,48.40,5
1400,0.025641025,14.36,4
447,0.057692307,77.36,9
1905,0.025641025,61.15,3
1193,0.083333333,184.24,13
2447,0.044871794,72.56,6
1639,0.012820512,44.24,2
2685,0.006410256,71.17,1
1016,0.019230769,73.27,3
1948,0.057692307,93.67,8
2826,0.019230769,48.78,1
994,0.025641025,73.16,4
335,0.038461538,86.71,5
2509,0.044871794,116.93,7
1210,0.608974358,1259.56,86
2072,0.012820512,19.00,2
802,0.102564102,236.28,12
2876,0.025641025,185.29,4
1169,0.019230769,13.63,2
1317,0.057692307,251.37,8
659,0.076923076,141.02,11
2090,0.076923076,167.73,12
1914,0.096153846,180.56,15
531,0.615384615,413.56,70
218,0.044871794,73.39,6
322,0.070512820,117.71,11
2508,0.115384615,323.22,15
