recency,frequency,monetary,variety
274,166,8026.24,91
2396,7,96.42,6
831,43,1364.72,36
2444,7,112.33,7
374,4,35.72,4
2920,3,8.53,3
2626,5,132.26,5
2121,16,1679.00,14
362,312,1738.01,182
2388,15,216.09,11
1306,1,30.87,1
2728,1,17.43,1
335,9,128.30,9
324,9,148.97,9
945,19,582.76,19
1573,1,20.51,1
2638,1,24.97,1
372,18,884.81,15
1987,14,1024.31,9
447,32,956.98,22
169,41,306.98,33
2434,1,22.42,1
1677,2,38.83,2
247,87,514.07,79
1590,8,183.41,7
352,7,56.47,6
1789,1,7.10,1
1364,8,143.58,7
2455,2,183.26,2
2240,2,73.71,2
1971,2,109.08,2
2167,3,203.64,2
2150,2,41.96,2
1560,4,64.30,3
678,78,932.20,64
2357,1,27.71,1
1321,1,9.41,1
2528,5,97.83,3
1323,11,224.94,9
706,9,90.10,9
1354,37,295.11,34
2406,4,15.29,3
1413,3,31.77,1
2091,2,18.31,2
293,4,109.85,4
598,1,24.62,1
2629,3,53.71,3
2844,2,29.33,2
2604,4,41.96,4
2333,1,66.63,1
2043,8,662.65,7
1178,4,16.43,3
2291,4,45.79,4
310,17,269.93,15
280,42,391.10,33
2855,8,231.40,8
773,4,78.27,4
2850,2,39.92,2
187,8,86.80,8
1591,9,67.53,8
918,2,27.73,2
321,1,18.33,1
1192,2,149.83,2
1601,8,106.41,7
2051,2,46.58,2
528,1,28.35,1
545,10,88.61,8
579,16,288.07,14
1167,4,115.20,2
2476,6,227.29,5
330,27,343.33,26
1522,2,24.80,2
2156,3,18.66,2
2126,2,18.61,2
2728,2,43.29,2
2883,2,60.56,1
1413,2,13.36,2
507,3,18.71,3
2012,2,23.75,2
1428,32,537.72,30
2838,9,132.87,6
906,2,20.90,1
1446,4,12.16,4
183,30,431.65,26
1337,8,185.47,7
2466,4,42.40,4
2636,2,108.59,2
175,100,1557.43,75
198,135,1135.58,104
2026,50,1239.51,47
1077,4,103.28,4
2282,1,15.83,1
2114,13,87.41,13
1013,12,151.79,12
2342,1,49.99,1
1024,1,4.06,1
309,2,9.76,2
228,344,6739.89,201
812,8,42.51,8
722,12,98.07,12
567,95,1741.32,56
2371,10,120.66,8
2002,3,22.35,3
1495,1,18.68,1
1195,10,207.12,9
2125,8,131.38,7
285,1,16.21,1
1729,32,484.88,30
1630,18,297.59,18
2668,2,24.99,1
2272,1,74.96,1
1557,1,16.57,1
812,5,48.40,5
1400,4,14.36,4
447,9,77.36,9
1905,4,61.15,3
1193,13,184.24,13
2447,7,72.56,6
1639,2,44.24,2
2685,1,71.17,1
1016,3,73.27,3
1948,9,93.67,8
2826,3,48.78,1
994,4,73.16,4
335,6,86.71,5
2509,7,116.93,7
1210,95,1259.56,86
2072,2,19.00,2
802,16,236.28,12
2876,4,185.29,4
1169,3,13.63,2
1317,9,251.37,8
659,12,141.02,11
2090,12,167.73,12
1914,15,180.56,15
531,96,413.56,70
218,7,73.39,6
322,11,117.71,11
2508,18,323.22,15
185,144,2035.66,89
2855,5,50.44,5
911,2,9.56,2
859,38,420.29,31
2542,1,12.49,1
888,10,112.69,10
953,25,266.40,20
976,22,231.69,21
1731,7,14.10,7
2353,9,182.05,9
2333,1,74.93,1
636,7,83.70,7
780,7,88.61,7
660,4,282.11,4
1243,8,127.76,7
2646,2,20.58,2
225,22,362.05,18
453,2,14.66,1
2372,16,204.11,13
2529,9,177.47,7
2346,27,510.62,24
1650,6,133.17,4
518,1,42.49,1
172,12,139.00,6
2048,8,123.71,8
1452,3,24.99,2
2855,3,42.32,3
218,25,1461.33,20
1583,2,20.97,2
1571,13,117.75,11
505,1,23.31,1
2056,4,169.69,4
2810,24,340.82,15
255,9,122.86,8
2109,6,167.74,5
638,52,573.01,42
303,21,186.74,19
2724,2,52.25,2
1065,9,194.75,8
2412,4,95.73,4
858,20,204.89,14
482,19,124.26,19
1478,2,8.20,2
2469,5,70.47,5
1849,7,140.33,6
942,129,1810.29,83
912,37,397.68,32
552,28,283.16,25
2127,7,79.02,6
719,11,99.29,10
578,23,441.81,23
1171,22,247.57,18
864,2,14.36,1
2332,1,373.50,1
2685,2,16.35,2
726,1,45.25,1
968,4,52.12,4
170,19,169.45,14
1042,27,346.67,24
321,24,280.95,23
1976,8,109.70,6
868,19,232.28,18
2297,2,34.54,2
2224,6,209.82,6
283,25,217.94,23
2032,2,20.92,2
514,119,1806.42,74
175,19,124.67,19
475,7,236.59,5
1893,5,37.11,5
188,192,2022.63,166
466,8,100.90,8
1177,2,16.71,2
1560,3,19.41,3
2850,4,78.04,4
1011,5,41.82,2
445,12,119.61,12
933,59,691.70,54
2276,1,56.93,1
508,5,7.18,5
375,7,111.87,7
2098,3,48.27,2
925,6,21.63,5
440,7,46.80,7
1905,4,49.41,4
324,12,129.45,9
2780,2,27.55,2
1320,17,177.89,16
2437,2,35.30,2
291,28,556.59,22
2788,2,62.01,2
223,27,351.55,25
2086,1,26.17,1
2380,3,144.56,2
1251,1,24.29,1
2849,1,17.34,1
2892,1,55.38,1
884,35,380.16,26
631,3,5.22,3
1920,3,56.01,3
2300,3,188.42,3
2333,3,492.47,3
2892,1,71.21,1
2577,2,64.57,2
1007,7,183.00,6
2925,2,8.16,1
512,36,254.24,34
2611,2,26.61,2
1174,30,295.31,30
905,1,16.66,1
2899,4,83.62,4
624,1,0.78,1
2843,3,54.79,3
1801,1,20.19,1
1339,8,65.17,8
334,6,17.49,6
2263,6,88.00,6
628,2,79.82,1
2563,3,55.56,3
1008,8,74.79,8
516,2,24.93,2
1072,75,655.17,64
2426,10,318.33,10
330,109,526.27,77
287,30,426.22,29
453,9,71.24,8
870,5,29.91,5
494,15,229.14,14
441,4,220.33,4
1546,9,179.03,9
1468,3,437.65,3
505,31,632.90,27
1534,9,127.79,9
2674,1,26.63,1
434,3,30.07,3
1756,3,37.89,3
2523,7,84.18,7
2847,5,111.38,5
2531,2,11.36,2
1120,9,95.70,9
1585,11,195.40,10
2632,1,16.46,1
194,8,210.70,7
660,21,578.72,15
2087,54,598.42,32
567,27,173.89,23
1040,2,25.65,2
2724,5,221.98,5
2907,1,191.00,1
1392,1,9.41,1
756,1,6.58,1
2494,2,18.54,2
499,7,124.07,6
1665,13,120.20,12
2740,7,250.31,6
507,5,66.59,4
498,49,553.00,36
